row ID,row m/z,row retention time,7p.mzML Peak area,4p.mzML Peak area,6p.mzML Peak area,1p.mzML Peak area,9p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,5p.mzML Peak area,12p.mzML Peak area,11p.mzML Peak area,13p.mzML Peak area,8p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area
2881,242.2121597,11.160117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882,397.73307,11.126405,5699.868,22306.928,1656.3491,40702.473,17278.633,36789.652,17999.996,69048.44,0,0,0,18629.46,22252.986,0,38431.973
2883,311.222252,11.079974,6756.763,0,5841.726,0,13488.224,1955.7261,0,0,0,0,0,8730.116,0,32788.28,0
2884,370.7107643,11.181242,34839.555,110058.77,8430.023,83949.22,21884.576,194049.2,25961.348,328781.56,0,0,5906.107,37189.473,21636.8,73303.836,17707.611
2885,826.4876426,11.097937,5822.704,31126.057,5871.9917,51917.19,31781.854,23740.742,79773.695,86410.016,9364.381,6025.188,24549.018,44381.355,23342.793,0,15741.769
2886,363.702988,11.132849,6793.8047,3702.239,0,0,8034.054,17874.322,11833.788,19542.65,0,0,0,11891.746,0,1820.1206,0
2887,798.4563625,11.144296,8940.582,6940.345,0,0,8703.865,4247.316,5942.6143,8669.155,0,0,0,12191.033,11671.911,0,7864.506
2888,320.2222885,11.1056795,13649.973,0,0,0,0,0,0,0,0,0,0,0,0,32680.264,0
2889,741.417642,11.124026,49277.664,65828.53,7198.8677,107749.09,39834.63,115399.484,65130.668,122600.33,0,0,1967.8073,44054.5,9874.203,30842.088,18832.922
2890,404.7422541,11.145341,0,110338.49,0,135374.64,6018.9385,123067.766,73056.62,284523.16,0,0,12645.041,8479.484,25761.03,0,34058.42
2891,740.4147041,11.121663,85814.2,272481.34,37981.707,280504.25,60289.26,127117.234,119331.84,412447.25,16585.566,6066.437,39181.48,133056.27,78017.35,82899.91,45193.457
2892,627.3976766,11.1228895,10447.672,0,20656.502,0,21510.588,0,0,0,0,0,0,21046.484,0,0,0
2893,826.4886857,11.114473,5822.704,21348.06,5871.9917,51917.19,22607.664,23740.742,21089.648,50385.234,9364.381,6025.188,24549.018,8444.666,23342.793,0,15741.769
2894,810.4566821,11.1625805,0,22665.996,0,22122.098,2420.151,20666.443,35517.8,168307.03,2115.3677,0,3568.0518,3272.4211,11307.368,0,7850.809
2895,351.2149979,11.219146,27051.615,12141.965,23274.955,9040.677,51977.664,13812.518,6248.1577,6162.9175,5709.02,5728.6426,0,57272.07,12017.602,99673.125,11618.613
2896,405.7342516,11.170539,0,61103.703,0,25013.648,2899.0327,34952.312,11460.283,29776.701,0,0,0,9558.017,11223.828,0,5546.3594
2897,741.4177858,11.1605425,14916.159,37308.684,7198.8677,28627.469,24939.234,40908.355,123635.125,61596.113,0,0,1967.8073,34976.04,9874.203,46275.51,40631.086
2898,397.7330807,11.224696,5699.868,24848.86,1656.3491,31065.496,17278.633,21950.736,23564.36,71841.484,0,0,0,0,23536.213,0,11822.05
2899,370.710748,11.177769,30509.234,125619.03,8430.023,83949.22,21884.576,194049.2,107868.59,328781.56,0,0,5906.107,37189.473,25161.24,73303.836,33413.04
2900,762.3958992,11.1852665,2501.969,24364.701,0,3180.717,2275.0498,11518.826,0,9760.901,0,0,0,0,0,3335.4436,5461.163
2901,538.3747462,11.19239,0,6342.3228,14245.653,14611.207,16361.086,10202.104,0,3520.7695,0,0,0,18295.066,0,0,11635.429
2902,264.1941413,11.190665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2903,738.4194192,11.185286,0,4692.2407,0,2851.073,0,12998.357,4693.285,12459.114,0,0,0,2067.3047,0,0,0
2904,810.4569543,11.294673,0,64555.516,0,16531.453,2420.151,30084.453,15548.607,105961.31,0,1762.099,3568.0518,0,14840.368,0,10670.928
2905,370.7107861,11.183917,36284.434,55612.367,17849.785,83949.22,81820.73,415713.6,130675.734,389496.34,0,0,5906.107,47036.926,26834.828,100497.43,42498.23
2906,354.2338635,11.251442,90473.8,6202.0176,13166.563,20803.123,77379.52,16937.986,17857.143,14024.245,6604.012,5246.097,10789.449,43481.695,18637.238,33042.402,19103.758
2907,414.3220638,11.085584,6578.1636,4036.6804,10095.352,9903.086,39478.707,4848.0938,10575.042,14876.062,4071.6702,17449.457,1762.9036,23168.768,4545.9414,0,7549.2476
2908,740.4146555,11.175941,100630.17,163190.72,44072.06,187685.64,235448.53,400291.66,160126.6,429246,16585.566,6066.437,22177.547,44166.117,31961.295,108421.336,111056.52
2909,726.3988435,11.10629,50857.312,10503.34,9812.746,10214.24,20165.22,23171.871,12127.1,28121.576,0,0,0,34499.957,0,19012.52,2241.858
2910,242.2121553,11.194314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2911,538.3747647,11.19615,0,6342.3228,50073.465,14611.207,48945.47,10202.104,0,3520.7695,0,0,0,12853.542,0,0,11635.429
2912,371.2123165,11.199272,10514.802,22493.477,0,29946.76,19274.285,165163.16,39077.203,129922.05,0,0,0,11898.945,2616.7495,9049.474,8080.9224
2913,738.4194434,11.188624,0,4692.2407,0,2851.073,0,13046.794,4693.285,23269.955,0,0,0,2067.3047,0,0,0
2914,742.4202698,11.185698,1691.887,7242.05,0,5729.429,2167.9822,9932.781,4507.4854,71291.87,0,0,0,2585.9072,0,0,0
2915,826.4877612,11.213564,5822.704,52246.168,3616.0027,31494.814,9218.098,86227.984,44786.45,40167.21,8882.288,6025.188,31130.016,22097.174,11843.18,0,49785.914
