row ID,row m/z,row retention time,6p.mzML Peak area,7p.mzML Peak area,1p.mzML Peak area,4p.mzML Peak area,5p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,9p.mzML Peak area,11p.mzML Peak area,8p.mzML Peak area,12p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area,13p.mzML Peak area,18p.mzML Peak area,16p.mzML Peak area,20p.mzML Peak area,17p.mzML Peak area,19p.mzML Peak area
,,,DSM43815,DSM43815,DSM43168,DSM43168,DSM43168,DSM43168,DSM43168,DSM43815,2M254,DSM43815,2M254,2M254,DSM43815,2M254,2M254,CT,CT,CT,CT,CT
4291,196.1700363,18.86548,0,0,8107.9536,17045.008,0,3478.4688,0,3884.4087,4710.6807,0,4508.5415,5717.397,0,0,7437.6055,4968.1104,8802.136,2957.2263,9804.725,7758.1597
4292,238.2171973,18.926348,0,0,7072.463,5735.0996,0,0,0,0,0,0,0,5297.1577,0,0,0,4891.807,0,0,4637.3027,0
4293,263.2374163,18.99155,810524.7,927265.7,1003436.6,322981.75,548756.75,326450.3,807552.94,554111.9,1099806.6,772108.3,654251.9,353857.8,448981.66,1044486.3,540471.94,290299.06,883122.9,410198.12,826269.56,694708.56
4294,170.1541887,18.872463,13962.1045,5133.2764,31011.154,10008.544,0,19961.941,11018.639,14676.25,18376.623,8036.4434,0,16146.189,5217.532,6763.045,15333.856,13745.248,18357.715,6525.6543,29708.855,13505.741
4295,501.2736834,19.069834,0,0,7966.7363,13619.922,60876.152,29226.775,62160.83,0,0,0,8151.4893,34069.645,0,48889.223,0,0,0,0,0,0
4296,280.2644328,18.946007,5973971.5,2098415.2,6400952.5,7190799.5,2643660,2171345.5,3913535.8,2471705.8,3832769,1986354.2,3439185.2,1839550.8,2317804.5,5548903,3012104,4290451,1.03E+07,2835498.2,4416086,3672711.2
4297,184.1699178,18.85737,22252.422,8243.57,39803.51,21611.385,0,34877.28,20980.377,13986.619,25449.094,12834.38,0,16862.95,8308.062,11534.379,27002.82,13535.333,25911.809,18540.93,32276.37,24752.457
4298,245.2268661,19.016655,67542.76,129931.64,199967.72,184688.73,87753.95,178452.44,148833.5,107023.48,210660.19,77684.34,126529.65,67967.89,93375.91,92493.18,110184.28,54708.91,231266.95,109121.5,161476.19,120130.08
4299,254.2487458,18.99404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300,264.2404799,19.02002,200436.88,124433.266,72525.375,156679.02,106702.26,71318.4,143891.31,82889.4,207093.03,69030.055,224666.14,68522.66,87455.18,131936.61,108067.19,161786,113274.164,160972.86,389854.34,134178.78
4301,263.2374612,18.88097,810524.7,334088.12,1187516,1476680.4,399815.5,525299.06,768642.75,860632.1,260643.61,348247.9,0,842288.8,329178.5,0,0,846310.25,765282.25,537813.2,489964.16,506969.72
4302,210.1856889,18.87675,7195.4243,0,24729.342,32492.715,6357.9224,23148.21,4330.9707,5981.2095,4024.4917,9255.052,9142.171,11899.812,4031.379,6227.776,0,8989.627,16088.723,4381.31,10763.532,10668.169
4303,559.5214983,18.997023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
